Time,Reactor Pressure (psi),Temperature (C),H2 Actual Flow (SCCM),CO2 Actual Flow (SCCM),He Actual Flow (SCCM),GC Analysis Stream,Heater Power State
12:15:33,0.00,26.42,0.00,0.00,0.00,Feed,OFF
12:15:34,0.00,26.37,0.00,0.00,0.00,Feed,OFF
